&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
                                    111,                    111,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    112,                    112,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    113,                    113,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    114,                    114,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    115,                    115,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    116,                    116,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    117,                    117,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    118,                    118,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    119,                    119,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    120,                    120,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    121,                    121,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    122,                    122,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    123,                    123,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    124,                    124,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    125,                    125,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    126,                    126,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    127,                    127,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    128,                    128,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    129,                    129,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    130,                    130,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    131,                    131,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    132,                    132,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    133,                    133,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    134,                    134,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    135,                    135,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    136,                    136,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    137,                    137,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    138,                    138,                    529,                    31.74,                    46,                    0.079,                    5,                    28000,                    22302,                    3955,                    0,                    0,                    
